Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
17,20-07-2011,179,Gap,Pinerolo,High mountain stage,Edvald Boasson Hagen,NOR
18,21-07-2011,200.5,Pinerolo,Col du Galibier-Serre Chevalier,High mountain stage,Andy Schleck,LUX
19,22-07-2011,109.5,Modane,Alpe d'Huez,High mountain stage,Pierre Rolland,FRA
20,23-07-2011,42.5,Grenoble,Grenoble,Individual time trial,Tony Martin,GER
21,24-07-2011,95,Créteil,Paris,Flat stage,Mark Cavendish,GBR
P,03-07-2010,8.9,Rotterdam,Rotterdam,Individual time trial,Fabian Cancellara,SUI
1,04-07-2010,223.5,Rotterdam,Brussels,Flat stage,Alessandro Petacchi,ITA
2,05-07-2010,201,Brussels,Spa,Flat stage,Sylvain Chavanel,FRA
3,06-07-2010,213,Wanze,Arenberg Porte du Hainaut,Flat cobblestone stage,Thor Hushovd,NOR
4,07-07-2010,153.5,Cambrai,Reims,Flat stage,Alessandro Petacchi,ITA
5,08-07-2010,187.5,Épernay,Montargis,Flat stage,Mark Cavendish,GBR
6,09-07-2010,227.5,Montargis,Gueugnon,Flat stage,Mark Cavendish,GBR
7,10-07-2010,165.5,Tournus,Station des Rousses,Medium mountain stage,Sylvain Chavanel,FRA
8,11-07-2010,189,Station des Rousses,Morzine-Avoriaz,Mountain stage,Andy Schleck,LUX
9,13-07-2010,204.5,Morzine-Avoriaz,Saint-Jean-de-Maurienne,Mountain stage,Sandy Casar,FRA
10,14-07-2010,179,Chambéry,Gap,Medium mountain stage,Sérgio Paulinho,POR
11,15-07-2010,184.5,Sisteron,Bourg-lès-Valence,Flat stage,Mark Cavendish,GBR
12,16-07-2010,210.5,Bourg-de-Péage,Mende,Medium mountain stage,Joaquim Rodríguez,ESP
13,17-07-2010,196,Rodez,Revel,Flat stage,Alexander Vinokourov,KAZ
14,18-07-2010,184.5,Revel,Ax 3 Domaines,Mountain stage,Christophe Riblon,FRA
15,19-07-2010,187.5,Pamiers,Bagnères-de-Luchon,Mountain stage,Thomas Voeckler,FRA
16,20-07-2010,199.5,Bagnères-de-Luchon,Pau,Mountain stage,Pierrick Fédrigo,FRA
17,22-07-2010,174,Pau,Col du Tourmalet,Mountain stage,Andy Schleck,LUX
18,23-07-2010,198,Salies-de-Béarn,Bordeaux,Flat stage,Mark Cavendish,GBR
19,24-07-2010,52,Bordeaux,Pauillac,Individual time trial,Fabian Cancellara,SUI
20,25-07-2010,102.5,Longjumeau,Paris,Flat stage,Mark Cavendish,GBR
1,04-07-2009,15.5,Monaco,Monaco,Individual time trial,Fabian Cancellara,SUI
2,05-07-2009,187,Monaco,Brignoles,Flat stage,Mark Cavendish,GBR
3,06-07-2009,196.5,Marseille,La Grande-Motte,Flat stage,Mark Cavendish,GBR
4,07-07-2009,39,Montpellier,Montpellier,Team time trial,Astana,GBR
5,08-07-2009,196.5,Cap d'Agde,Perpignan,Flat stage,Thomas Voeckler,FRA
6,09-07-2009,181.5,Girona,Barcelona,Flat stage,Thor Hushovd,NOR
7,10-07-2009,224,Barcelona,Andorra-Arcalis,Mountain stage,Brice Feillu,FRA
8,11-07-2009,176.5,Andorra la Vella,Saint-Girons,Mountain stage,Luis León Sánchez,ESP
9,12-07-2009,160.5,Saint-Gaudens,Tarbes,Mountain stage,Pierrick Fédrigo,FRA
10,14-07-2009,194.5,Limoges,Issoudun,Flat stage,Mark Cavendish,GBR
11,15-07-2009,192,Vatan,Saint-Fargeau,Flat stage,Mark Cavendish,GBR
12,16-07-2009,211.5,Tonnerre,Vittel,Flat stage,Nicki Sørensen,DEN
13,17-07-2009,200,Vittel,Colmar,Medium mountain stage,Heinrich Haussler,GER
14,18-07-2009,199,Colmar,Besançon,Flat stage,Sergei Ivanov,RUS
15,19-07-2009,207.5,Pontarlier,Verbier,Mountain Stage,Alberto Contador,ESP
16,21-07-2009,159,Martigny,Bourg-Saint-Maurice,Mountain Stage,Sandy Casar,FRA
17,22-07-2009,169.5,Bourg-Saint-Maurice,Le Grand-Bornand,Mountain Stage,Fränk Schleck,LUX
18,23-07-2009,40.5,Annecy,Annecy,Individual time trial,Alberto Contador,ESP
19,24-07-2009,178,Bourgoin-Jallieu,Aubenas,Flat stage,Mark Cavendish,GBR
20,25-07-2009,167,Montélimar,Mont Ventoux,Mountain stage,Juan Manuel Gárate,ESP
21,26-07-2009,164,Montereau-Fault-Yonne,Paris,Flat stage,Mark Cavendish,GBR
1,05-07-2008,197.5,Brest,Plumelec,Flat stage,Alejandro Valverde,ESP
2,06-07-2008,164.5,Auray,Saint-Brieuc,Flat stage,Thor Hushovd,NOR
3,07-07-2008,208,Saint-Malo,Nantes,Flat stage,Samuel Dumoulin,FRA
4,08-07-2008,29.5,Cholet,Cholet,Individual time trial,Kim Kirchen,LUX
5,09-07-2008,232,Cholet,Châteauroux,Flat stage,Mark Cavendish,GBR
6,10-07-2008,195.5,Aigurande,Super-Besse Sancy,Transition stage,Alejandro Valverde,ESP
7,11-07-2008,159,Brioude,Aurillac,Transition stage,Luis León Sánchez,ESP
8,12-07-2008,172.5,Figeac,Toulouse,Flat stage,Mark Cavendish,GBR
9,13-07-2008,224,Toulouse,Bagnères-de-Bigorre,Mountain stage,Vladimir Efimkin,RUS
10,14-07-2008,156,Pau,Hautacam,Mountain stage,Juan José Cobo,ESP
11,16-07-2008,167.5,Lannemezan,Foix,Transition stage,Kurt Asle Arvesen,NOR
12,17-07-2008,168.5,Lavelanet,Narbonne,Flat stage,Mark Cavendish,GBR
13,18-07-2008,182,Narbonne,Nîmes,Flat stage,Mark Cavendish,GBR
14,19-07-2008,194.5,Nîmes,Digne-les-Bains,Flat stage,Óscar Freire,ESP
15,20-07-2008,183,Embrun,Prato Nevoso,Mountain stage,Simon Gerrans,AUS
16,22-07-2008,157,Cuneo,Jausiers,Mountain stage,Cyril Dessel,FRA
17,23-07-2008,210.5,Embrun,Alpe d'Huez,Mountain stage,Carlos Sastre,ESP
18,24-07-2008,196.5,Bourg-d'Oisans,Saint-Étienne,Transition stage,Marcus Burghardt,GER
19,25-07-2008,165.5,Roanne,Montluçon,Flat stage,Sylvain Chavanel,FRA
20,26-07-2008,53,Cérilly,Saint-Amand-Montrond,Individual time trial,Fabian Cancellara,SUI
21,27-07-2008,143,Étampes,Paris,Flat stage,Gert Steegmans,BEL
P,07-07-2007,7.9,London,London,Individual time trial,Fabian Cancellara,SUI
1,08-07-2007,203,London,Canterbury,Plain stage,Robbie McEwen,AUS
2,09-07-2007,168.5,Dunkirk,Ghent,Plain stage,Gert Steegmans,BEL
3,10-07-2007,236.5,Waregem - Compiègne,Waregem - Compiègne,Plain stage,Fabian Cancellara,SUI
4,11-07-2007,193,Villers-Cotterêts,Joigny,Plain stage,Thor Hushovd,NOR
5,12-07-2007,182.5,Chablis,Autun,Intermediate stage,Filippo Pozzato,ITA
6,13-07-2007,199.5,Semur-en-Auxois,Bourg-en-Bresse,Plain stage,Tom Boonen,BEL
7,14-07-2007,197.5,Bourg-en-Bresse,Le Grand-Bornand,Mountain stage,Linus Gerdemann,GER
8,15-07-2007,165,Le Grand-Bornand,Tignes,Mountain stage,Michael Rasmussen,DEN
9,17-07-2007,159.5,Val-d'Isère,Briançon,Mountain stage,Mauricio Soler,COL
10,18-07-2007,229.5,Tallard,Marseille,Plain stage,Cédric Vasseur,FRA
11,19-07-2007,182.5,Marseille,Montpellier,Plain stage,Robert Hunter,RSA
12,20-07-2007,178.5,Montpellier,Castres,Intermediate stage,Tom Boonen,BEL
13,21-07-2007,54,Albi,Albi,Individual time trial,Cadel Evans[n 1],AUS
14,22-07-2007,197,Mazamet,Plateau-de-Beille,Mountain stage,Alberto Contador,ESP
15,23-07-2007,196,Foix,Loudenvielle,Mountain stage,Kim Kirchen[n 1],LUX
16,25-07-2007,218.5,Orthez,Gourette–Col d'Aubisque,Mountain stage,Michael Rasmussen,DEN
17,26-07-2007,188.5,Pau,Castelsarrasin,Intermediate stage,Daniele Bennati,ITA
18,27-07-2007,211,Cahors,Angoulême,Plain stage,Sandy Casar,FRA
19,28-07-2007,55.5,Cognac,Angoulême,Individual time trial,Levi Leipheimer,USA
20,29-07-2007,146,Marcoussis,Paris,Plain stage,Daniele Bennati,ITA
P,01-07-2006,7.1,Strasbourg,Strasbourg,Individual time trial,Thor Hushovd,NOR
1,02-07-2006,184.5,Strasbourg,Strasbourg,Flat stage,Jimmy Casper,FRA
2,03-07-2006,228.5,Obernai,Esch-sur-Alzette,Flat stage,Robbie McEwen,AUS
3,04-07-2006,216.5,Esch-sur-Alzette,Valkenburg,Hilly stage,Matthias Kessler,GER
4,05-07-2006,207,Huy,Saint-Quentin,Flat stage,Robbie McEwen,AUS
5,06-07-2006,225,Beauvais,Caen,Flat stage,Óscar Freire,ESP
6,07-07-2006,189,Lisieux,Vitré,Flat stage,Robbie McEwen,AUS
7,08-07-2006,52,Saint Grégoire,Rennes,Individual time trial,Serhiy Honchar,UKR
