Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
12,18-07-2003,47,Gaillac,Cap Découverte,Individual time trial,Jan Ullrich,GER
13,19-07-2003,197.5,Toulouse,Ax 3 Domaines,Stage with mountain(s),Carlos Sastre,ESP
14,20-07-2003,191.5,Saint-Girons,Loudenvielle,Stage with mountain(s),Gilberto Simoni,ITA
15,21-07-2003,159.5,Bagnères-de-Bigorre,Luz Ardiden,Stage with mountain(s),Lance Armstrong[n 1],USA
16,23-07-2003,197.5,Pau,Bayonne,Stage with mountain(s),Tyler Hamilton,USA
17,24-07-2003,181,Dax,Bordeaux,Plain stage,Servais Knaven,NED
18,25-07-2003,203.5,Bordeaux,Saint-Maixent-l'École,Plain stage,Pablo Lastras,ESP
19,26-07-2003,49,Pornic,Nantes,Individual time trial,David Millar,GBR
20,27-07-2003,152,Ville-d'Avray,Paris,Plain stage,Jean-Patrick Nazon,FRA
P,06-07-2002,7,Luxembourg City,Luxembourg City,Individual time trial,Lance Armstrong[n 1],USA
1,07-07-2002,192.5,Luxembourg City,Luxembourg City,Plain stage,Rubens Bertogliati,SUI
2,08-07-2002,181,Luxembourg City,Saarbrücken,Plain stage,Óscar Freire,ESP
3,09-07-2002,174.5,Metz,Reims,Plain stage,Robbie McEwen,AUS
4,10-07-2002,67.5,Épernay,Château-Thierry,Team time trial,ONCE–Eroski,USA
5,11-07-2002,195,Soissons,Rouen,Plain stage,Jaan Kirsipuu,EST
6,12-07-2002,199.5,Forges-les-Eaux,Alençon,Plain stage,Erik Zabel,GER
7,13-07-2002,176,Bagnoles-de-l'Orne,Avranches,Plain stage,Bradley McGee,AUS
8,14-07-2002,217.5,Saint-Martin-de-Landelles,Plouay,Plain stage,Karsten Kroon,NED
9,15-07-2002,52,Lanester,Lorient,Individual time trial,Santiago Botero,COL
10,17-07-2002,147,Bazas,Pau,Plain stage,Patrice Halgand,FRA
11,18-07-2002,158,Pau,La Mongie,Stage with mountain(s),Lance Armstrong[n 1],USA
12,19-07-2002,199.5,Lannemezan,Plateau de Beille,Stage with mountain(s),Lance Armstrong[n 1],USA
13,20-07-2002,171,Lavelanet,Béziers,Plain stage,David Millar,GBR
14,21-07-2002,221,Lodève,Mont Ventoux,Stage with mountain(s),Richard Virenque,FRA
15,23-07-2002,226.5,Vaison-la-Romaine,Les Deux Alpes,Hilly stage,Santiago Botero,COL
16,24-07-2002,179.5,Les Deux Alpes,La Plagne,Stage with mountain(s),Michael Boogerd,NED
17,25-07-2002,142,Aime,Cluses,Stage with mountain(s),Dario Frigo,ITA
18,26-07-2002,176.5,Cluses,Bourg-en-Bresse,Hilly stage,Thor Hushovd,NOR
19,27-07-2002,50,Régnié-Durette,Mâcon,Individual time trial,Lance Armstrong[n 1],USA
20,28-07-2002,144,Melun,Paris,Plain stage,Robbie McEwen,AUS
P,07-07-2001,8.2,Dunkirk,Dunkirk,Individual time trial,Christophe Moreau,FRA
1,08-07-2001,194.5,Saint-Omer,Boulogne-sur-Mer,Plain stage,Erik Zabel,GER
2,09-07-2001,220.5,Calais,Antwerp,Plain stage,Marc Wauters,BEL
3,10-07-2001,198.5,Antwerp,Seraing,Plain stage,Erik Zabel,GER
4,11-07-2001,215,Huy,Verdun,Plain stage,Laurent Jalabert,FRA
5,12-07-2001,67,Verdun,Bar-le-Duc,Team time trial,Crédit Agricole,COL
6,13-07-2001,211.5,Commercy,Strasbourg,Plain stage,Jaan Kirsipuu,EST
7,14-07-2001,162.5,Strasbourg,Colmar,Hilly stage,Laurent Jalabert,FRA
8,15-07-2001,222.5,Colmar,Pontarlier,Plain stage,Erik Dekker,NED
9,16-07-2001,185,Pontarlier,Aix-les-Bains,Plain stage,Serguei Ivanov,RUS
10,17-07-2001,209,Aix-les-Bains,Alpe d'Huez,Stage with mountain(s),Lance Armstrong[n 1],USA
11,18-07-2001,32,Grenoble,Chamrousse,Individual time trial,Lance Armstrong[n 1],USA
12,20-07-2001,166.5,Perpignan,Plateau de Bonascre,Stage with mountain(s),Félix Cárdenas,COL
13,21-07-2001,194,Foix,Saint-Lary-Soulan Pla d'Adet,Stage with mountain(s),Lance Armstrong[n 1],USA
14,22-07-2001,141.5,Tarbes,Luz Ardiden,Stage with mountain(s),Roberto Laiseka,ESP
15,24-07-2001,232.5,Pau,Lavaur,Plain stage,Rik Verbrugghe,BEL
16,25-07-2001,229.5,Castelsarrasin,Sarran,Plain stage,Jens Voigt,GER
17,26-07-2001,194,Brive-la-Gaillarde,Montluçon,Plain stage,Serge Baguet,BEL
18,27-07-2001,61,Montluçon,Saint-Amand-Montrond,Individual time trial,Lance Armstrong[n 1],USA
19,28-07-2001,149.5,Orléans,Évry,Plain stage,Erik Zabel,GER
20,29-07-2001,160.5,Corbeil-Essonnes,Paris,Plain stage,Ján Svorada,CZE
1,01-07-2000,16.5,Futuroscope,Futuroscope,Individual time trial,David Millar,GBR
2,02-07-2000,194,Futuroscope,Loudun,Plain stage,Tom Steels,BEL
3,03-07-2000,161.5,Loudun,Nantes,Plain stage,Tom Steels,BEL
4,04-07-2000,70,Nantes,Saint-Nazaire,Team time trial,ONCE–Deutsche Bank,ITA
5,05-07-2000,202,Vannes,Vitré,Plain stage,Marcel Wüst,GER
6,06-07-2000,198.5,Vitré,Tours,Plain stage,Leon van Bon,NED
7,07-07-2000,205.5,Tours,Limoges,Plain stage,Christophe Agnolutto,FRA
8,08-07-2000,203.5,Limoges,Villeneuve-sur-Lot,Plain stage,Erik Dekker,NED
9,09-07-2000,181,Agen,Dax,Plain stage,Paolo Bettini,ITA
10,10-07-2000,205,Dax,Hautacam,Stage with mountain(s),Javier Otxoa,ESP
11,11-07-2000,218.5,Bagnères-de-Bigorre,Revel,Hilly stage,Erik Dekker,NED
12,13-07-2000,149,Carpentras,Mont Ventoux,Stage with mountain(s),Marco Pantani,ITA
13,14-07-2000,185.5,Avignon,Draguignan,Plain stage,José Vicente Garcia,ESP
14,15-07-2000,249.5,Draguignan,Briançon,Stage with mountain(s),Santiago Botero,COL
15,16-07-2000,173.5,Briançon,Courchevel,Stage with mountain(s),Marco Pantani,ITA
16,18-07-2000,196.5,Courchevel,Morzine,Stage with mountain(s),Richard Virenque,FRA
17,19-07-2000,155,Évian-les-Bains,Lausanne,Hilly stage,Erik Dekker,NED
18,20-07-2000,246.5,Lausanne,Freiburg,Plain stage,Salvatore Commesso,ITA
19,21-07-2000,58.5,Freiburg,Mulhouse,Individual time trial,Lance Armstrong[n 1],USA
20,22-07-2000,254.5,Belfort,Troyes,Plain stage,Erik Zabel,GER
21,23-07-2000,138,Paris,Paris,Plain stage,Stefano Zanini,ITA
